"Time (s)","X (hPa)"
-5.747455833E-1,1.034429550E3
4.277364169E-1,1.034434357E3
1.430139417E0,1.034429550E3
2.432305417E0,1.034429398E3
3.434476417E0,1.034425583E3
4.436713417E0,1.034423904E3
4.617407417E0,1.034418640E3
5.545329417E0,1.034413757E3
6.473397417E0,1.034403381E3
7.401421417E0,1.034392014E3
8.329643417E0,1.034378967E3
9.257970417E0,1.034366074E3
1.018614142E1,1.034355240E3
1.111430542E1,1.034348145E3
1.204242342E1,1.034343338E3
1.297056242E1,1.034338226E3
1.389865442E1,1.034335251E3
1.482683742E1,1.034333572E3
1.575500942E1,1.034330292E3
1.668327042E1,1.034326706E3
1.761175942E1,1.034325638E3
1.854020742E1,1.034324036E3
1.946858342E1,1.034320831E3
2.039696842E1,1.034320602E3
2.132543642E1,1.034319839E3
2.225394142E1,1.034316635E3
2.318252442E1,1.034310226E3
2.411105542E1,1.034302216E3
2.503950942E1,1.034293671E3
2.596800342E1,1.034284744E3
2.689649642E1,1.034275284E3
2.782502642E1,1.034265594E3
2.875342442E1,1.034253540E3
2.968173642E1,1.034238510E3
3.061014042E1,1.034228210E3
3.153856942E1,1.034219208E3
3.246697942E1,1.034212799E3
3.339535442E1,1.034207687E3
3.432387942E1,1.034206543E3
3.525222942E1,1.034202118E3
3.618048642E1,1.034194183E3
3.710876342E1,1.034185181E3
3.803702742E1,1.034177170E3
3.896536842E1,1.034167709E3
3.989376542E1,1.034160919E3
4.082217042E1,1.034158325E3
4.175053642E1,1.034155731E3
4.267909442E1,1.034153290E3
4.360745342E1,1.034149094E3
4.453578842E1,1.034142990E3
4.546419142E1,1.034136734E3
4.639264242E1,1.034133530E3
4.732113142E1,1.034130783E3
4.824953342E1,1.034128265E3
4.917788742E1,1.034126511E3
5.010620842E1,1.034124603E3
5.103443642E1,1.034122467E3
5.196272442E1,1.034119034E3
5.289098742E1,1.034115372E3
5.381935242E1,1.034107742E3
5.474761742E1,1.034100113E3
5.567587742E1,1.034092712E3
5.660416342E1,1.034089355E3
5.753231742E1,1.034083710E3
5.846052142E1,1.034077759E3
5.938864942E1,1.034077759E3
6.031684742E1,1.034078369E3
6.124497942E1,1.034080048E3
6.217313842E1,1.034085007E3
6.310112142E1,1.034089966E3
6.402909142E1,1.034089966E3
6.495709342E1,1.034088974E3
6.588516442E1,1.034084167E3
6.681328942E1,1.034077911E3
6.774131142E1,1.034073944E3
6.866928042E1,1.034072571E3
6.959730442E1,1.034072571E3
7.052529542E1,1.034074173E3
7.145329642E1,1.034078751E3
7.238126842E1,1.034080734E3
7.330927442E1,1.034081726E3
7.423730842E1,1.034081726E3
7.516539742E1,1.034080963E3
7.609349742E1,1.034072418E3
7.702160042E1,1.034067612E3
7.794967242E1,1.034061508E3
7.887762942E1,1.034052811E3
7.980564642E1,1.034044876E3
8.073378142E1,1.034043045E3
8.166181542E1,1.034040375E3
8.258992142E1,1.034038544E3
8.351796842E1,1.034038544E3
8.444602042E1,1.034038544E3
8.537406842E1,1.034038315E3
8.630215242E1,1.034037781E3
8.723020142E1,1.034037323E3
8.815813242E1,1.034036560E3
8.908602442E1,1.034035416E3
9.001389042E1,1.034031525E3
9.094170742E1,1.034027100E3
9.186949142E1,1.034023209E3
9.279713042E1,1.034020538E3
9.372474842E1,1.034018707E3
9.465225142E1,1.034015579E3
9.557964142E1,1.034010696E3
9.650697942E1,1.034005966E3
9.743432242E1,1.033997803E3
9.836167642E1,1.033994293E3
9.928924042E1,1.033989868E3
1.002167214E2,1.033986359E3
1.011439904E2,1.033982925E3
1.020713364E2,1.033982620E3
1.029986284E2,1.033980331E3
1.039258994E2,1.033977585E3
1.048533114E2,1.033973541E3
1.057806594E2,1.033970718E3
1.067080494E2,1.033966522E3
1.076353924E2,1.033961639E3
1.085626144E2,1.033957825E3
1.094897434E2,1.033955383E3
1.104169224E2,1.033951569E3
1.113442054E2,1.033949585E3
1.122716424E2,1.033948898E3
1.131991464E2,1.033947220E3
1.141266944E2,1.033943100E3
1.150542464E2,1.033938675E3
1.159817034E2,1.033933182E3
1.169092614E2,1.033926926E3
1.178367334E2,1.033922958E3
1.187641164E2,1.033921280E3
1.196914574E2,1.033920593E3
1.206187994E2,1.033920593E3
1.215462594E2,1.033920746E3
1.224736044E2,1.033923035E3
1.234010034E2,1.033929062E3
1.243284544E2,1.033932037E3
1.252560574E2,1.033933716E3
1.261836554E2,1.033933716E3
1.271113174E2,1.033932571E3
1.280388994E2,1.033927460E3
1.289664834E2,1.033921890E3
1.298940654E2,1.033918381E3
1.308216314E2,1.033916245E3
1.317491274E2,1.033915634E3
1.326766384E2,1.033913193E3
1.336040624E2,1.033911667E3
1.345315124E2,1.033910446E3
1.354589564E2,1.033909454E3
1.363864244E2,1.033907318E3
1.373138734E2,1.033904572E3
1.382412844E2,1.033900375E3
1.391686844E2,1.033896332E3
1.400959534E2,1.033891144E3
1.410231674E2,1.033882828E3
1.419503744E2,1.033875580E3
1.428775494E2,1.033869400E3
1.438047024E2,1.033863678E3
1.447319654E2,1.033857117E3
1.456594114E2,1.033849487E3
1.465869944E2,1.033840790E3
1.475145294E2,1.033832092E3
1.484420394E2,1.033824158E3
1.493693354E2,1.033815002E3
1.502966604E2,1.033807068E3
1.512240764E2,1.033800812E3
1.521515844E2,1.033795395E3
1.530790744E2,1.033789291E3
1.540065114E2,1.033782501E3
1.549339774E2,1.033776779E3
1.558613704E2,1.033768234E3
1.567886444E2,1.033760910E3
1.577158854E2,1.033753510E3
1.586430734E2,1.033746033E3
1.595702774E2,1.033739319E3
1.604975354E2,1.033734055E3
1.614247024E2,1.033728485E3
1.623519194E2,1.033723907E3
1.632791624E2,1.033717499E3
1.642064924E2,1.033707886E3
1.651339074E2,1.033700638E3
1.660612984E2,1.033693390E3
1.669886694E2,1.033684387E3
1.679158454E2,1.033677979E3
1.688431404E2,1.033671951E3
1.697704744E2,1.033664246E3
1.706977514E2,1.033657837E3
1.716250764E2,1.033651810E3
1.725524614E2,1.033647385E3
1.734798274E2,1.033642883E3
1.744072154E2,1.033637085E3
1.753346054E2,1.033630447E3
1.762619854E2,1.033625031E3
1.771894104E2,1.033617630E3
1.781167614E2,1.033609467E3
1.790440824E2,1.033603821E3
1.799711254E2,1.033597717E3
1.808981054E2,1.033590775E3
1.818251964E2,1.033581161E3
1.827524324E2,1.033575592E3
1.836796984E2,1.033571930E3
1.846070254E2,1.033567810E3
1.855343104E2,1.033563080E3
1.864616144E2,1.033563080E3
1.873888824E2,1.033563461E3
