"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.107629202E-2,3.278542459E-1,-1.453685760E-1,9.040840864E-1
3.099329164E-2,3.312861025E-1,-1.666405648E-1,9.084037542E-1
5.091029173E-2,3.177198470E-1,-1.668691486E-1,8.915303946E-1
7.082729181E-2,2.954380512E-1,-1.507786214E-1,8.507151604E-1
9.074429190E-2,2.911391556E-1,-1.274113804E-1,7.846330404E-1
1.106612920E-1,2.834601104E-1,-9.478979558E-2,6.927394867E-1
1.305782916E-1,2.745509744E-1,-6.141202897E-2,5.826784372E-1
1.504952917E-1,2.644697428E-1,-2.912382782E-2,4.654553533E-1
1.704122918E-1,2.463051677E-1,-3.822788596E-3,3.642153442E-1
1.903292919E-1,2.232063562E-1,1.458309963E-2,2.971604764E-1
2.102462919E-1,1.964199245E-1,2.144999802E-2,2.596625686E-1
2.301622918E-1,1.593825370E-1,1.893918961E-2,2.414633036E-1
2.500792919E-1,1.122164130E-1,1.313738804E-2,2.087222040E-1
2.699962920E-1,6.976487488E-2,2.190088853E-4,1.661601514E-1
2.899132920E-1,1.964499801E-2,-2.595124766E-2,1.225066781E-1
3.098302917E-1,-3.229285777E-2,-5.606197566E-2,8.589398116E-2
3.297472917E-1,-7.422932237E-2,-7.775934786E-2,5.660300702E-2
3.496642918E-1,-1.157318428E-1,-9.543289244E-2,2.654223330E-2
3.695812919E-1,-1.597486138E-1,-1.085099503E-1,-8.751622401E-3
3.894982920E-1,-1.860938668E-1,-1.041807458E-1,-4.398517311E-2
4.094152916E-1,-1.921546310E-1,-8.540080488E-2,-5.792171508E-2
4.293322917E-1,-2.162897140E-1,-7.046798617E-2,-5.019686744E-2
4.492492918E-1,-2.473176569E-1,-6.488483399E-2,-4.652381688E-2
4.691652916E-1,-2.783680558E-1,-8.813335001E-2,-5.845030770E-2
4.890822917E-1,-3.123149276E-1,-1.390554309E-1,-9.067892283E-2
5.089992918E-1,-3.459787369E-1,-2.004085779E-1,-1.521940529E-1
5.289162919E-1,-3.459488451E-1,-2.990215421E-1,-2.405481040E-1
5.488332920E-1,-3.373167813E-1,-3.746536672E-1,-3.492914140E-1
5.687502916E-1,-2.670134306E-1,-3.719428480E-1,-4.187989235E-1
5.886672917E-1,-1.643814445E-1,-2.424371094E-1,-4.317406714E-1
6.085842918E-1,-5.250541866E-2,-9.168010950E-2,-4.135088623E-1
6.285012919E-1,1.069698948E-3,2.244015783E-2,-3.868873417E-1
6.484182919E-1,-1.763868518E-2,2.988999709E-2,-3.390854001E-1
6.683352920E-1,-1.791778766E-2,-8.507619798E-2,-2.928947508E-1
6.882522916E-1,2.298538387E-2,-2.334030718E-1,-2.450873107E-1
7.081692917E-1,1.186820865E-1,-3.267222941E-1,-2.104718238E-1
7.280855416E-1,2.054805309E-1,-3.296960592E-1,-1.868097335E-1
7.480025417E-1,2.420599759E-1,-2.524091005E-1,-1.531738937E-1
7.679195418E-1,2.431743294E-1,-1.592890769E-1,-9.405828267E-2
7.878365419E-1,2.001640797E-1,-4.508929700E-2,-1.664438471E-2
8.077535420E-1,1.350995600E-1,8.004242182E-2,7.014696300E-2
8.276705421E-1,1.173839197E-1,1.661948562E-1,1.503046006E-1
8.475875417E-1,1.550815701E-1,2.195545435E-1,2.301742136E-1
8.675045418E-1,1.820141971E-1,2.894884348E-1,3.124680817E-1
8.874215418E-1,1.869257540E-1,3.743803501E-1,4.017818868E-1
9.073385419E-1,2.042420059E-1,4.838203788E-1,4.715416431E-1
9.272555420E-1,2.559730709E-1,5.853753686E-1,5.053994060E-1
9.471725416E-1,3.480751812E-1,6.801655889E-1,5.152990818E-1
9.670885419E-1,3.636868596E-1,7.286167145E-1,5.004397035E-1
9.870055420E-1,2.917090356E-1,7.560045719E-1,4.488323927E-1
1.006922542E0,2.514661252E-1,7.300540805E-1,3.702817559E-1
1.026839542E0,2.592535317E-1,6.282628775E-1,3.016020954E-1
1.046756542E0,2.855820656E-1,5.062940121E-1,2.566167414E-1
1.066673542E0,3.248923421E-1,3.656051159E-1,2.441557348E-1
1.086590542E0,3.413557708E-1,2.230280340E-1,2.505763769E-1
1.106507542E0,3.284100592E-1,1.047892720E-1,2.480334938E-1
1.126424542E0,3.067216873E-1,1.412346121E-2,2.480663955E-1
1.146341542E0,3.108053505E-1,-1.737084985E-2,2.779779136E-1
1.166258542E0,3.034084141E-1,5.244131200E-3,3.428599834E-1
1.186175542E0,2.657218575E-1,1.280564070E-2,4.368638098E-1
1.206091542E0,2.174840719E-1,-5.497115664E-3,5.467967391E-1
1.226008542E0,1.348532885E-1,-4.241588339E-2,6.103196740E-1
1.245925542E0,-3.688461334E-2,-1.073537245E-1,5.840279460E-1
1.265842542E0,-2.104220837E-1,-1.484967768E-1,4.720385373E-1
1.285759542E0,-2.755314112E-1,-1.609234512E-1,3.254449964E-1
1.305676542E0,-2.030061632E-1,-1.398815066E-1,2.156779468E-1
1.325593542E0,-1.262087971E-1,-1.143714264E-1,1.205764860E-1
1.345510542E0,-1.267516464E-1,-1.378249563E-2,4.397882521E-2
1.365427542E0,-1.360090226E-1,1.587065309E-1,1.426251233E-2
1.385344542E0,-9.129207581E-2,3.325923383E-1,2.972756885E-2
1.405261542E0,-7.464130223E-2,4.235154688E-1,3.803920001E-2
1.425178542E0,-1.105910540E-1,4.520716369E-1,7.070579380E-2
1.445094542E0,-1.447397768E-1,4.120058119E-1,1.247164756E-1
