"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.107629202E-2,-4.737289429E0,2.937538910E1,-3.856414795E1
3.099329164E-2,-4.595422745E0,2.946462631E1,-3.848527527E1
5.091029173E-2,-4.106138229E0,2.922960854E1,-3.853423309E1
7.082729181E-2,-3.740468979E0,2.874960709E1,-3.855319214E1
9.074429190E-2,-3.381568909E0,2.872346878E1,-3.843867493E1
1.106612920E-1,-3.028642654E0,2.838319397E1,-3.819956207E1
1.305782916E-1,-2.815744400E0,2.809995651E1,-3.894963074E1
1.504952917E-1,-2.845794678E0,2.792735481E1,-3.880989075E1
1.704122918E-1,-1.998689651E0,2.753322983E1,-3.851492310E1
1.903292919E-1,-2.237525940E0,2.740338516E1,-3.943897247E1
2.102462919E-1,-2.117650986E0,2.713875580E1,-3.929846191E1
2.301622918E-1,-1.699872971E0,2.709488487E1,-3.945328522E1
2.500792919E-1,-1.763175964E0,2.709959412E1,-3.960032654E1
2.699962920E-1,-1.375156403E0,2.684707451E1,-3.955593109E1
2.899132920E-1,-1.421356201E0,2.695835114E1,-3.983688354E1
3.098302917E-1,-1.461452484E0,2.710648727E1,-3.958395386E1
3.297472917E-1,-1.424341202E0,2.700669479E1,-3.968668365E1
3.496642918E-1,-1.512680054E0,2.727172089E1,-3.945771790E1
3.695812919E-1,-1.724660873E0,2.751641846E1,-3.912050629E1
3.894982920E-1,-1.481178284E0,2.755171967E1,-3.946878052E1
4.094152916E-1,-1.898923874E0,2.783351135E1,-3.911510468E1
4.293322917E-1,-2.215469360E0,2.776292801E1,-3.887798309E1
4.492492918E-1,-1.965856552E0,2.778697777E1,-3.894519806E1
4.691652916E-1,-2.226577759E0,2.792167282E1,-3.863159943E1
4.890822917E-1,-2.255418777E0,2.826297569E1,-3.865026093E1
5.089992918E-1,-2.685606003E0,2.875460815E1,-3.829290771E1
5.289162919E-1,-3.001943588E0,2.903853416E1,-3.779759979E1
5.488332920E-1,-2.892667770E0,2.925934601E1,-3.787471008E1
5.687502916E-1,-3.498369217E0,2.944681740E1,-3.725797272E1
5.886672917E-1,-3.799673080E0,2.970398521E1,-3.696985626E1
6.085842918E-1,-4.227598190E0,2.979080582E1,-3.665699005E1
6.285012919E-1,-4.126848221E0,2.986854172E1,-3.666761017E1
6.484182919E-1,-4.509107590E0,2.978401566E1,-3.716828918E1
6.683352920E-1,-4.804351807E0,2.954686928E1,-3.719686127E1
6.882522916E-1,-5.058759689E0,2.984144402E1,-3.685115814E1
7.081692917E-1,-5.349763870E0,2.991647339E1,-3.673893738E1
7.280855416E-1,-5.959674835E0,2.972765350E1,-3.639681244E1
7.480025417E-1,-6.719732285E0,2.936534882E1,-3.702895355E1
7.679195418E-1,-6.743967056E0,2.913358879E1,-3.728448486E1
7.878365419E-1,-6.269880295E0,2.918542862E1,-3.710875702E1
8.077535420E-1,-6.414518356E0,2.893588829E1,-3.722783661E1
8.276705421E-1,-6.449184418E0,2.906514359E1,-3.725944519E1
8.475875417E-1,-5.977918625E0,2.894486046E1,-3.745378876E1
8.675045418E-1,-5.976499557E0,2.877446365E1,-3.749910736E1
8.874215418E-1,-5.221088409E0,2.875726700E1,-3.778836823E1
9.073385419E-1,-4.703960419E0,2.833618546E1,-3.786389923E1
9.272555420E-1,-3.533618927E0,2.822058868E1,-3.768447876E1
9.471725416E-1,-2.966024399E0,2.808037949E1,-3.742166138E1
9.670885419E-1,-2.081348419E0,2.787124252E1,-3.809177399E1
9.870055420E-1,-1.543567657E0,2.762366676E1,-3.819649506E1
1.006922542E0,-4.005908966E-1,2.716758156E1,-3.862545776E1
1.026839542E0,1.118354797E-1,2.736090088E1,-3.768913269E1
1.046756542E0,9.784545898E-1,2.703927994E1,-3.807980347E1
1.066673542E0,1.081779480E0,2.658310699E1,-3.858066559E1
1.086590542E0,1.578353882E0,2.602811050E1,-3.841493988E1
1.106507542E0,1.478683472E0,2.617058563E1,-3.847483063E1
1.126424542E0,1.779354095E0,2.614249802E1,-3.875153351E1
1.146341542E0,2.504478455E0,2.576111221E1,-3.895365906E1
1.166258542E0,2.662330627E0,2.525984955E1,-3.925759125E1
1.186175542E0,3.056358337E0,2.513514709E1,-3.905227661E1
1.206091542E0,3.146030426E0,2.498170853E1,-3.905325317E1
1.226008542E0,3.645973206E0,2.448822784E1,-3.935160828E1
1.245925542E0,4.421409607E0,2.451937866E1,-3.922267151E1
1.265842542E0,4.415653229E0,2.423947716E1,-3.910932159E1
1.285759542E0,4.430587769E0,2.460926056E1,-3.885482025E1
1.305676542E0,4.052749634E0,2.458208084E1,-3.892893982E1
1.325593542E0,4.320766449E0,2.499806595E1,-3.871060181E1
1.345510542E0,4.291862488E0,2.471106720E1,-3.850262451E1
1.365427542E0,4.502449036E0,2.517871666E1,-3.849586487E1
1.385344542E0,5.092239380E0,2.508070564E1,-3.833104706E1
1.405261542E0,5.337570190E0,2.540151596E1,-3.803796387E1
1.425178542E0,5.498222351E0,2.519841385E1,-3.839546204E1
1.445094542E0,6.185268402E0,2.530886269E1,-3.796562958E1
1.465011542E0,6.951061249E0,2.497451019E1,-3.811622620E1
1.484928542E0,7.011093140E0,2.535364151E1,-3.746236420E1
1.504845542E0,7.038143158E0,2.576793480E1,-3.764962006E1
1.524762542E0,7.836494446E0,2.545251083E1,-3.734250641E1
1.544679542E0,8.091178894E0,2.537938309E1,-3.692468262E1
1.564596542E0,8.397628784E0,2.524919128E1,-3.720779419E1
1.584513542E0,8.524467468E0,2.532452774E1,-3.682154083E1
1.604430542E0,8.976135254E0,2.510320663E1,-3.665880585E1
1.624347542E0,9.609977722E0,2.462751007E1,-3.680758667E1
1.644264542E0,9.999759674E0,2.457177353E1,-3.688098145E1
1.664180542E0,1.012762451E1,2.472148514E1,-3.708566284E1
1.684097542E0,1.033827209E1,2.464496994E1,-3.672908783E1
1.704014542E0,1.035149384E1,2.481216049E1,-3.710364532E1
1.723931542E0,1.029878616E1,2.474282455E1,-3.691183472E1
1.743848167E0,1.010319901E1,2.504675674E1,-3.711997223E1
1.763765167E0,1.021954346E1,2.524536514E1,-3.642140198E1
1.783682167E0,1.026700592E1,2.558007050E1,-3.642428589E1
1.803599167E0,1.018577957E1,2.572879028E1,-3.636038971E1
1.823516167E0,1.083660507E1,2.611582756E1,-3.640493011E1
1.843433167E0,1.100595856E1,2.593505096E1,-3.624804688E1
1.863350167E0,1.149071884E1,2.618531799E1,-3.607263184E1
1.883267167E0,1.113904190E1,2.626420021E1,-3.613523865E1
1.903184167E0,1.120262146E1,2.586293221E1,-3.677056122E1
1.923100167E0,1.105001831E1,2.578621483E1,-3.679108429E1
1.943017167E0,1.051229477E1,2.571141434E1,-3.708815002E1
1.962934167E0,1.021027374E1,2.506904602E1,-3.743077850E1
1.982851167E0,1.018934631E1,2.525083923E1,-3.766996765E1
2.002768167E0,9.979854584E0,2.523861313E1,-3.800378418E1
2.022685167E0,9.264205933E0,2.517138290E1,-3.788011169E1
2.042602167E0,8.727985382E0,2.531563568E1,-3.778620911E1
2.062519167E0,8.060604095E0,2.514184952E1,-3.830381775E1
2.082436167E0,7.764354706E0,2.535700417E1,-3.840958405E1
2.102353167E0,7.568233490E0,2.515430069E1,-3.874600220E1
2.122269167E0,6.798557281E0,2.514661026E1,-3.915386200E1
2.142186167E0,6.860523224E0,2.499953461E1,-3.868795013E1
2.162103167E0,6.340057373E0,2.495348930E1,-3.935923767E1
2.182020167E0,6.711997986E0,2.480918884E1,-3.937059021E1
2.201937167E0,5.927001953E0,2.439382553E1,-3.972930908E1
2.221854167E0,5.882202148E0,2.428309441E1,-3.997210693E1
2.241771167E0,6.150756836E0,2.384062386E1,-3.996977234E1
2.261688167E0,5.976261139E0,2.340847397E1,-3.992864990E1
2.281605167E0,6.620223999E0,2.308062363E1,-4.026519012E1
2.301522167E0,7.217510223E0,2.314130592E1,-4.045870972E1
2.321439167E0,7.323062897E0,2.318794441E1,-4.060250092E1
2.341355167E0,7.567199707E0,2.301085091E1,-4.087812805E1
2.361272167E0,7.621738434E0,2.302629280E1,-4.053927612E1
2.381189167E0,7.807140350E0,2.297771072E1,-4.030556488E1
2.401106167E0,7.900714874E0,2.316764259E1,-4.028003693E1
2.421023167E0,8.188121796E0,2.311907768E1,-4.027420044E1
2.440940167E0,8.334346771E0,2.314983368E1,-4.034337616E1
2.460857167E0,8.222068787E0,2.321582222E1,-3.992913055E1
2.480774167E0,8.654113770E0,2.354636192E1,-3.968280792E1
