"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
4.179160595E-1,3.211802159E1,1.189530810E2,2.154385328E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
6.815145016E0,3.211799060E1,1.189531547E2,2.154452515E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
1.322579408E1,3.211797404E1,1.189532120E2,2.154459047E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
3.820300698E1,3.211778442E1,1.189532958E2,2.154485774E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
4.463213098E1,3.211767912E1,1.189533037E2,2.154490519E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
5.716731000E1,3.211747105E1,1.189532217E2,2.154458261E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
6.356425500E1,3.211741025E1,1.189532199E2,2.154472160E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
1.162234720E2,3.211714377E1,1.189528639E2,2.154358292E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
1.814615951E2,3.211649826E1,1.189520353E2,2.154095054E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
1.878866811E2,3.211652464E1,1.189520509E2,2.154118371E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
1.921025010E2,3.211654588E1,1.189520698E2,2.154118371E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
2.168534070E2,3.211639235E1,1.189518851E2,2.154047060E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
2.326513081E2,3.211636705E1,1.189516431E2,1.829823875E1,-1.000000000E0,-1.000000000E0,4.000000000E1,4.000000000E1
2.525789490E2,3.211647694E1,1.189512631E2,1.706045270E1,-1.000000000E0,-1.000000000E0,3.900000000E1,3.900000000E1
