"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.620041672E-3,4.835095367E0,6.960525513E-1,1.168829407E1
2.153704176E-2,3.871698761E0,1.448687439E0,1.233749405E1
4.145404184E-2,2.441722412E0,1.697170715E0,1.179592026E1
6.137104193E-2,1.321601715E0,1.684297485E0,1.137469620E1
8.128804201E-2,1.054706726E0,1.637744293E0,1.147618515E1
1.012050421E-1,9.255253601E-1,1.650168457E0,1.150896698E1
1.211220417E-1,7.888595581E-1,1.772464142E0,1.079135925E1
1.410390418E-1,1.042581940E0,1.782642975E0,9.781559143E0
1.609560419E-1,1.523681488E0,1.591789856E0,8.929530945E0
1.808730420E-1,2.052232361E0,1.419198761E0,8.016729126E0
2.007890418E-1,2.553390198E0,1.251547394E0,7.322772217E0
2.207060419E-1,2.981799316E0,9.527687073E-1,6.887627106E0
2.406230420E-1,3.123853912E0,7.394622803E-1,6.834188232E0
2.605400421E-1,3.088078308E0,5.728587341E-1,6.992259521E0
2.804570417E-1,3.033890991E0,4.276606750E-1,7.127129059E0
3.003740418E-1,2.930007019E0,2.688409424E-1,7.359146576E0
3.202910419E-1,2.968177643E0,2.652484131E-1,7.569608917E0
3.402080419E-1,2.949167175E0,3.050656128E-1,7.821984100E0
3.601250420E-1,2.966980133E0,3.115022278E-1,8.037086792E0
3.800420417E-1,3.318449249E0,2.445913696E-1,8.215665436E0
3.999590417E-1,3.764222260E0,2.058219910E-1,8.405021667E0
4.198760418E-1,4.246070251E0,1.457968140E-1,8.537496185E0
4.397920417E-1,4.429888000E0,1.278341675E-1,8.859177246E0
4.597090418E-1,4.318519592E0,8.726852417E-2,9.308842163E0
4.796260418E-1,4.147724762E0,1.243913269E-1,9.910740509E0
4.995430419E-1,4.154011688E0,2.115101624E-1,1.063403641E1
5.194600420E-1,4.257895660E0,2.177970886E-1,1.123368942E1
5.393770421E-1,4.665797424E0,1.212478638E-1,1.158545792E1
5.592940417E-1,5.132975922E0,-1.582209778E-1,1.190579178E1
5.792110418E-1,4.984933777E0,-2.920426941E-1,1.211820007E1
5.991280419E-1,4.005071411E0,-2.420466614E-1,1.165700912E1
6.190450420E-1,2.274669800E0,-1.106199646E-1,1.128997238E1
6.389620421E-1,1.418749695E0,-3.701802063E-1,1.097906891E1
6.588790417E-1,1.103654938E0,-6.915618896E-1,1.063238983E1
6.787950420E-1,1.103205872E0,-8.921447754E-1,9.941277008E0
6.987120421E-1,1.171314240E0,-8.987310791E-1,9.385782166E0
7.186290417E-1,1.381776581E0,-7.033872986E-1,8.771160278E0
7.385460418E-1,1.609752502E0,-4.384382629E-1,8.306526489E0
7.584632919E-1,1.794169006E0,-3.817062378E-1,8.117918701E0
7.783802920E-1,2.093995514E0,-5.957611084E-1,7.908204803E0
7.982972921E-1,2.440824280E0,-8.150550842E-1,7.802225189E0
8.182142917E-1,2.699785767E0,-8.644523621E-1,7.622299347E0
8.381312918E-1,2.819536743E0,-7.590715027E-1,7.594457245E0
8.580482919E-1,2.681374054E0,-6.445596313E-1,7.678582306E0
8.779652920E-1,2.530637512E0,-5.712121582E-1,7.792944489E0
8.978822920E-1,2.468965759E0,-4.302053833E-1,8.090675354E0
9.177982919E-1,2.459984436E0,-3.297642517E-1,8.360564117E0
9.377152920E-1,2.568658447E0,-2.918930054E-1,8.510552216E0
9.576322921E-1,2.787802734E0,-3.269201660E-1,8.781488800E0
9.775492917E-1,2.961142273E0,-3.246748352E-1,9.060658264E0
9.974662918E-1,3.156635742E0,-3.152444458E-1,9.363328857E0
1.017383292E0,3.306474152E0,-3.263214111E-1,9.824070740E0
1.037300292E0,3.379971313E0,-1.974394226E-1,1.035935760E1
1.057217292E0,3.283272400E0,1.318757629E-1,1.081351318E1
1.077134292E0,3.176095276E0,5.709127808E-1,1.097368011E1
1.097051292E0,3.077151031E0,5.637277222E-1,1.109612549E1
1.116968292E0,3.359014893E0,2.963836670E-1,1.155522079E1
1.136884292E0,3.257076874E0,3.848497009E-1,1.238988510E1
1.156801292E0,2.643203430E0,7.005432129E-1,1.213406708E1
1.176718292E0,1.807790680E0,8.027806091E-1,1.180909286E1
1.196635292E0,1.116977234E0,8.678952026E-1,1.164638123E1
1.216552292E0,8.084687805E-1,1.017583923E0,1.130419281E1
1.236469292E0,7.849676514E-1,1.133592682E0,1.100257004E1
1.256386292E0,8.104147339E-1,1.274749146E0,1.047057632E1
1.276303292E0,9.879455566E-1,1.458866272E0,9.577533417E0
1.296220292E0,1.373843079E0,1.520238647E0,8.689430237E0
1.316137292E0,1.654808807E0,1.316212921E0,8.100405121E0
