"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
5.000041798E-3,2.209333479E-1,-1.073386818E-1,3.808444142E-1
2.491604211E-2,2.584322393E-1,8.357899264E-3,4.174424410E-1
4.483304173E-2,1.719868034E-1,2.218037844E-4,4.591358900E-1
6.475004181E-2,5.941545963E-2,-1.296945065E-1,4.691304266E-1
8.466704190E-2,2.554973587E-2,-2.548908591E-1,4.611666799E-1
1.045840420E-1,1.127010360E-1,-3.090268672E-1,4.703179598E-1
1.245010421E-1,1.937637776E-1,-3.124377728E-1,5.214247108E-1
1.444180417E-1,2.072945386E-1,-2.305424213E-1,6.052628160E-1
1.643350418E-1,2.112909555E-1,-9.294769168E-2,7.182619572E-1
1.842520419E-1,2.089933008E-1,2.768722363E-3,8.197726011E-1
2.041690419E-1,1.924309731E-1,3.675785661E-2,8.589146137E-1
2.240860420E-1,1.626129746E-1,3.797318041E-2,8.511340022E-1
2.440030421E-1,1.305654645E-1,4.122403637E-2,8.184714913E-1
2.639190420E-1,1.114693880E-1,4.464141279E-2,7.546549439E-1
2.838360420E-1,1.107736900E-1,7.218202204E-2,6.905980706E-1
3.037530417E-1,1.069631353E-1,1.402960718E-1,6.271768808E-1
3.236700417E-1,8.771004528E-2,2.229036391E-1,5.366718769E-1
3.435870418E-1,4.928505048E-2,2.775252461E-1,4.370671809E-1
3.635040419E-1,2.246694081E-2,2.874623537E-1,3.261264265E-1
3.834210420E-1,2.974867076E-2,2.629935741E-1,2.033305913E-1
4.033380421E-1,7.374527305E-2,2.170019150E-1,8.021038771E-2
4.232550417E-1,6.555525213E-2,1.960388422E-1,-6.498942152E-3
4.431720418E-1,-3.865507897E-3,1.799086183E-1,-4.681522772E-2
4.630890419E-1,-1.312874258E-1,1.925244033E-1,-3.393645585E-2
4.830060420E-1,-2.983307540E-1,2.163234204E-1,-3.212029859E-2
5.029220418E-1,-4.505228400E-1,1.983777136E-1,-7.365205139E-2
5.228390419E-1,-5.702760816E-1,1.050386280E-1,-1.476211250E-1
5.427560420E-1,-6.124521494E-1,-6.502537429E-2,-2.233465910E-1
