"Time (s)","X (µT)","Y (µT)","Z (µT)"
5.000041798E-3,-8.109848633E2,7.406422119E2,-4.683326721E1
2.491604211E-2,-8.109520264E2,7.407218628E2,-4.622091675E1
4.483304173E-2,-8.110795898E2,7.402708130E2,-4.597612000E1
6.475004181E-2,-8.111270752E2,7.390797119E2,-4.589993286E1
8.466704190E-2,-8.104382935E2,7.381994629E2,-4.554534912E1
1.045840420E-1,-8.107817383E2,7.377641602E2,-4.539987183E1
1.245010421E-1,-8.109334717E2,7.378804321E2,-4.578225708E1
1.444180417E-1,-8.119915161E2,7.384883423E2,-4.545825958E1
1.643350418E-1,-8.132169189E2,7.392982788E2,-4.506047821E1
1.842520419E-1,-8.135792236E2,7.395836182E2,-4.431655121E1
2.041690419E-1,-8.137387695E2,7.403380737E2,-4.450177002E1
2.240860420E-1,-8.147133789E2,7.414087524E2,-4.452058411E1
2.440030421E-1,-8.154889526E2,7.411708374E2,-4.457586670E1
2.639190420E-1,-8.154850464E2,7.413670654E2,-4.393740845E1
2.838360420E-1,-8.158629150E2,7.413858032E2,-4.423705292E1
3.037530417E-1,-8.159718018E2,7.417570190E2,-4.439465332E1
3.236700417E-1,-8.159542847E2,7.416395874E2,-4.428931427E1
3.435870418E-1,-8.159920654E2,7.416353149E2,-4.500420380E1
3.635040419E-1,-8.160782471E2,7.417642212E2,-4.514529419E1
3.834210420E-1,-8.158698730E2,7.415252686E2,-4.538499451E1
4.033380421E-1,-8.154569092E2,7.414629517E2,-4.564630127E1
4.232550417E-1,-8.160547485E2,7.420326538E2,-4.517417145E1
4.431720418E-1,-8.157019653E2,7.425123291E2,-4.518746948E1
4.630890419E-1,-8.157512207E2,7.424374390E2,-4.526271820E1
4.830060420E-1,-8.159464111E2,7.429064941E2,-4.563032532E1
5.029220418E-1,-8.162046509E2,7.433381348E2,-4.590086365E1
5.228390419E-1,-8.162387085E2,7.440574341E2,-4.609345245E1
5.427560420E-1,-8.162694092E2,7.449291992E2,-4.647082520E1
5.626730421E-1,-8.165263062E2,7.452898560E2,-4.688795471E1
5.825900417E-1,-8.163661499E2,7.454487915E2,-4.690061951E1
6.025070418E-1,-8.169456177E2,7.455620117E2,-4.742981720E1
6.224240419E-1,-8.158566895E2,7.444077759E2,-4.748045349E1
6.423410419E-1,-8.158313599E2,7.433828735E2,-4.764846039E1
6.622580420E-1,-8.155225220E2,7.426112061E2,-4.738854218E1
6.821750421E-1,-8.154819946E2,7.420819702E2,-4.706839752E1
7.020920417E-1,-8.153615723E2,7.416614380E2,-4.760507202E1
7.220090418E-1,-8.153146973E2,7.417921753E2,-4.732445526E1
7.419252917E-1,-8.150372925E2,7.413216553E2,-4.763233185E1
7.618422918E-1,-8.144882812E2,7.413522339E2,-4.831517792E1
7.817592919E-1,-8.139434204E2,7.407485352E2,-4.812628174E1
8.016762920E-1,-8.139086914E2,7.412926025E2,-4.831695557E1
8.215932921E-1,-8.135676880E2,7.410256348E2,-4.827880096E1
8.415102917E-1,-8.132700806E2,7.408433228E2,-4.813370514E1
8.614272918E-1,-8.130138550E2,7.409830322E2,-4.806829834E1
8.813442918E-1,-8.123643799E2,7.410704956E2,-4.826219177E1
9.012612919E-1,-8.118208618E2,7.404658203E2,-4.893174744E1
9.211782920E-1,-8.114113770E2,7.399332275E2,-4.919243622E1
9.410952921E-1,-8.109748535E2,7.401367188E2,-4.959476471E1
9.610112919E-1,-8.106782227E2,7.397958374E2,-4.973972321E1
9.809282920E-1,-8.103675537E2,7.396524048E2,-4.956590271E1
1.000845292E0,-8.103349609E2,7.395057373E2,-4.981439209E1
1.020762292E0,-8.098594971E2,7.394191895E2,-4.946103668E1
1.040679292E0,-8.097295532E2,7.395977173E2,-4.947327423E1
1.060596292E0,-8.097070923E2,7.398962402E2,-4.899324799E1
1.080513292E0,-8.105792847E2,7.406564941E2,-4.867166901E1
1.100430292E0,-8.109996338E2,7.407402954E2,-4.824398041E1
1.120347292E0,-8.116008911E2,7.414859009E2,-4.766170502E1
1.140264292E0,-8.112658691E2,7.413612671E2,-4.788625336E1
1.160181292E0,-8.113771362E2,7.407511597E2,-4.839384460E1
1.180097292E0,-8.111641235E2,7.404351196E2,-4.845196533E1
1.200014292E0,-8.112017822E2,7.396370850E2,-4.867021942E1
1.219931292E0,-8.118713379E2,7.392343140E2,-4.884790802E1
1.239848292E0,-8.123120117E2,7.398007202E2,-4.846077728E1
1.259765292E0,-8.128847046E2,7.400780029E2,-4.832637787E1
1.279682292E0,-8.133122559E2,7.399301147E2,-4.784226227E1
1.299599292E0,-8.136955566E2,7.402924805E2,-4.741467285E1
1.319516292E0,-8.138773193E2,7.405574341E2,-4.660966492E1
1.339433292E0,-8.138208618E2,7.405451050E2,-4.711032867E1
1.359350292E0,-8.145480957E2,7.407279053E2,-4.712946320E1
1.379267292E0,-8.141395264E2,7.408221436E2,-4.683592987E1
1.399184292E0,-8.143267212E2,7.410575562E2,-4.695532990E1
1.419100292E0,-8.147736816E2,7.414427490E2,-4.703111267E1
1.439017292E0,-8.150274048E2,7.416664429E2,-4.689162445E1
1.458934292E0,-8.152843628E2,7.417875366E2,-4.706375885E1
1.478851292E0,-8.151815186E2,7.418190308E2,-4.704676819E1
1.498768292E0,-8.146856079E2,7.418175659E2,-4.738958740E1
1.518685292E0,-8.141852417E2,7.422947998E2,-4.795092773E1
1.538602292E0,-8.146281738E2,7.423579712E2,-4.748435974E1
1.558519292E0,-8.144865723E2,7.425155640E2,-4.757191467E1
1.578436292E0,-8.151865234E2,7.429451904E2,-4.750626373E1
1.598353292E0,-8.150821533E2,7.431553345E2,-4.771672821E1
1.618269292E0,-8.149320679E2,7.430693970E2,-4.764501953E1
1.638186292E0,-8.148277588E2,7.432752686E2,-4.741476440E1
1.658103292E0,-8.152053223E2,7.433352661E2,-4.796041870E1
1.678020292E0,-8.153758545E2,7.438703613E2,-4.799864960E1
1.697937292E0,-8.153757324E2,7.445283813E2,-4.825910187E1
1.717854292E0,-8.158386230E2,7.452592163E2,-4.829396820E1
1.737771292E0,-8.160656738E2,7.461672363E2,-4.827381134E1
1.757688542E0,-8.158736572E2,7.464418945E2,-4.871424103E1
1.777605542E0,-8.161114502E2,7.467273560E2,-4.867809296E1
1.797522542E0,-8.156970215E2,7.462518921E2,-4.936740112E1
1.817439542E0,-8.151100464E2,7.451526489E2,-4.956449127E1
1.837355542E0,-8.149637451E2,7.446302490E2,-4.961706543E1
1.857272542E0,-8.148195190E2,7.442459717E2,-4.993444824E1
1.877189542E0,-8.153947754E2,7.448100586E2,-4.911665344E1
1.897106542E0,-8.152672729E2,7.451692505E2,-4.946157074E1
1.917023542E0,-8.157255859E2,7.446290894E2,-4.985047913E1
1.936940542E0,-8.152006226E2,7.449574585E2,-4.995072174E1
1.956857542E0,-8.148686523E2,7.449978027E2,-5.024047089E1
1.976774542E0,-8.149622803E2,7.451911011E2,-5.013627625E1
1.996691542E0,-8.143004761E2,7.453399048E2,-5.071543884E1
2.016608542E0,-8.144371948E2,7.448817749E2,-5.106089783E1
2.036524542E0,-8.138441162E2,7.447134399E2,-5.133951569E1
2.056441542E0,-8.137194214E2,7.447794800E2,-5.152645111E1
2.076358542E0,-8.130539551E2,7.451339111E2,-5.176424408E1
2.096275542E0,-8.123916016E2,7.449461670E2,-5.198873901E1
2.116192542E0,-8.115494385E2,7.449826050E2,-5.217791748E1
2.136109542E0,-8.118881836E2,7.451757812E2,-5.248294067E1
2.156026542E0,-8.114514771E2,7.449811401E2,-5.295874023E1
2.175943542E0,-8.114918213E2,7.449335938E2,-5.331483459E1
2.195860542E0,-8.114097900E2,7.451260986E2,-5.286264038E1
2.215777542E0,-8.115454102E2,7.452075195E2,-5.329630280E1
2.235693542E0,-8.119302979E2,7.452785645E2,-5.286336517E1
2.255610542E0,-8.119017944E2,7.453359985E2,-5.245909882E1
2.275527542E0,-8.123245239E2,7.456674194E2,-5.196018219E1
2.295444542E0,-8.128093872E2,7.455631714E2,-5.160647583E1
2.315361542E0,-8.131577148E2,7.455081177E2,-5.174231720E1
2.335278542E0,-8.137034302E2,7.455238037E2,-5.136041260E1
2.355195542E0,-8.131139526E2,7.451159668E2,-5.136715698E1
2.375112542E0,-8.133009033E2,7.449815063E2,-5.121257782E1
2.395029542E0,-8.139454956E2,7.447863159E2,-5.125244141E1
2.414946542E0,-8.146314087E2,7.453205566E2,-5.107775116E1
2.434863542E0,-8.152467651E2,7.450524292E2,-5.090105438E1
2.454779542E0,-8.156076050E2,7.454323120E2,-4.999942780E1
2.474696542E0,-8.162200317E2,7.458688965E2,-4.960503387E1
2.494613542E0,-8.169888916E2,7.464993286E2,-4.906210327E1
2.514530542E0,-8.174337158E2,7.466458740E2,-4.917390442E1
2.534447542E0,-8.179065552E2,7.470366821E2,-4.878163910E1
2.554364542E0,-8.182785034E2,7.469717407E2,-4.894841003E1
2.574281542E0,-8.178483887E2,7.469954834E2,-4.871362305E1
2.594198542E0,-8.181130981E2,7.477606812E2,-4.893045044E1
2.614115542E0,-8.181055908E2,7.483807983E2,-4.901909637E1
2.634032542E0,-8.181474609E2,7.482218018E2,-4.949063110E1
2.653948542E0,-8.185537109E2,7.487860107E2,-4.972187042E1
2.673865542E0,-8.185918579E2,7.489434204E2,-4.998141479E1
2.693782542E0,-8.179310303E2,7.492359619E2,-5.052946472E1
2.713699542E0,-8.180498047E2,7.490626831E2,-5.102721405E1
2.733616542E0,-8.177929688E2,7.491174927E2,-5.126280212E1
2.753533917E0,-8.177463379E2,7.493884277E2,-5.174805450E1
2.773450917E0,-8.174516602E2,7.490700684E2,-5.220323181E1
2.793367917E0,-8.175103760E2,7.497631226E2,-5.224482727E1
2.813284917E0,-8.173732300E2,7.498616943E2,-5.189222717E1
2.833200917E0,-8.181386719E2,7.504673462E2,-5.177765656E1
2.853117917E0,-8.186552124E2,7.510899048E2,-5.115818787E1
2.873034917E0,-8.187637329E2,7.515249634E2,-5.090946198E1
2.892951917E0,-8.192520142E2,7.517980957E2,-5.060431671E1
2.912868917E0,-8.187316895E2,7.515128784E2,-5.053569031E1
2.932785917E0,-8.186134033E2,7.509494019E2,-5.094879150E1
2.952702917E0,-8.185205078E2,7.505689697E2,-5.095812225E1
2.972619917E0,-8.187146606E2,7.502755127E2,-5.130178070E1
2.992536917E0,-8.184812012E2,7.500549316E2,-5.099463654E1
3.012453917E0,-8.184589844E2,7.500706787E2,-5.103882599E1
3.032369917E0,-8.187009888E2,7.500194702E2,-5.100711060E1
3.052286917E0,-8.188350220E2,7.500186157E2,-5.088854980E1
3.072203917E0,-8.188677368E2,7.497051392E2,-5.072146606E1
3.092120917E0,-8.183872681E2,7.492470703E2,-5.063501740E1
3.112037917E0,-8.177709351E2,7.489407349E2,-5.097809601E1
3.131954917E0,-8.170646973E2,7.489167480E2,-5.142957306E1
3.151871917E0,-8.166250610E2,7.484658203E2,-5.122250366E1
3.171788917E0,-8.161214600E2,7.482225342E2,-5.195427704E1
3.191705917E0,-8.161797485E2,7.478890991E2,-5.187957001E1
3.211622917E0,-8.157690430E2,7.469450073E2,-5.211032104E1
