"Time (s)","X (hPa)"
-5.676344172E-1,1.033592758E3
4.327225829E-1,1.033592834E3
1.433083583E0,1.033592834E3
2.433465583E0,1.033596115E3
3.433912583E0,1.033596115E3
4.434321583E0,1.033596115E3
4.618121583E0,1.033596115E3
5.544498583E0,1.033596268E3
6.470959583E0,1.033596878E3
7.397499583E0,1.033599472E3
8.324176583E0,1.033602982E3
9.250807583E0,1.033606567E3
1.017740858E1,1.033607025E3
1.110408058E1,1.033607025E3
1.203077558E1,1.033601151E3
1.295756558E1,1.033593826E3
1.388432558E1,1.033593826E3
1.481113558E1,1.033595581E3
1.573791858E1,1.033604202E3
1.666477658E1,1.033614731E3
1.759148958E1,1.033627090E3
1.851810058E1,1.033635330E3
1.944480658E1,1.033637619E3
2.037155958E1,1.033640060E3
2.129835358E1,1.033640289E3
2.222526358E1,1.033641434E3
2.315218958E1,1.033644409E3
2.407917158E1,1.033649139E3
2.500626758E1,1.033653564E3
2.593341858E1,1.033657990E3
2.686065158E1,1.033661880E3
2.778787858E1,1.033665619E3
2.871506358E1,1.033667831E3
2.964233658E1,1.033672180E3
3.056958458E1,1.033677750E3
3.149681858E1,1.033685455E3
3.242406858E1,1.033691635E3
3.335141758E1,1.033698120E3
3.427880158E1,1.033704071E3
3.520611458E1,1.033711319E3
3.613353458E1,1.033717041E3
3.706096458E1,1.033719177E3
3.798841558E1,1.033720627E3
3.891578058E1,1.033720856E3
3.984323158E1,1.033722458E3
4.077060158E1,1.033724670E3
4.169810658E1,1.033725739E3
4.262581658E1,1.033727188E3
4.355344858E1,1.033727646E3
4.448094358E1,1.033727646E3
4.540840458E1,1.033727646E3
4.633582158E1,1.033733139E3
4.726324158E1,1.033741150E3
4.819064558E1,1.033745651E3
4.911822658E1,1.033749161E3
5.004566258E1,1.033749161E3
5.097305358E1,1.033745193E3
5.190046058E1,1.033739624E3
5.282793758E1,1.033735123E3
5.375540158E1,1.033729630E3
5.468293658E1,1.033724060E3
5.561064258E1,1.033720016E3
5.653834158E1,1.033719330E3
5.746603858E1,1.033715897E3
5.839371158E1,1.033713303E3
5.932143958E1,1.033712158E3
6.024909958E1,1.033711166E3
6.117673858E1,1.033707733E3
6.210442158E1,1.033707581E3
6.303208258E1,1.033706818E3
6.395970258E1,1.033706512E3
6.488739058E1,1.033706512E3
6.581510558E1,1.033706894E3
6.674284258E1,1.033708115E3
6.767055858E1,1.033708191E3
6.859832058E1,1.033708191E3
6.952599658E1,1.033707352E3
7.045376158E1,1.033706512E3
7.138155258E1,1.033703079E3
7.230928158E1,1.033700867E3
7.323690358E1,1.033699875E3
7.416450758E1,1.033698730E3
7.509209358E1,1.033698730E3
7.601979058E1,1.033698730E3
7.694750358E1,1.033698730E3
7.787507758E1,1.033697968E3
7.880263358E1,1.033696060E3
7.973022058E1,1.033693695E3
8.065772458E1,1.033687973E3
8.158551458E1,1.033684235E3
8.251336858E1,1.033682632E3
8.344114558E1,1.033680954E3
8.436891358E1,1.033679810E3
8.529671858E1,1.033679733E3
8.622463358E1,1.033678665E3
8.715257658E1,1.033677597E3
8.808054458E1,1.033674545E3
8.900831658E1,1.033669434E3
8.993594558E1,1.033661194E3
9.086357858E1,1.033652725E3
9.179127558E1,1.033645706E3
9.271892258E1,1.033644714E3
9.364655658E1,1.033644562E3
9.457415058E1,1.033644562E3
