"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.135499708E-3,5.819581711E-1,-8.040970366E-1,2.793814257E0
2.405150002E-2,-5.419649702E-1,-6.800721840E-1,3.362263606E0
4.396749986E-2,-1.581741416E0,-3.671264248E-1,2.531651419E0
6.388349971E-2,-1.920178843E0,-4.778029978E-1,1.835672543E0
8.379950002E-2,-1.538411501E0,-8.724167083E-1,1.778732357E0
1.037154999E-1,-9.985988912E-1,-1.146866812E0,1.705071473E0
1.236314997E-1,-9.032954156E-1,-1.001670214E0,1.149772512E0
1.435475000E-1,-1.303789342E0,-6.690273052E-1,5.369316870E-1
1.634634999E-1,-1.743534750E0,-4.554399195E-1,3.022712284E-1
1.833794997E-1,-1.916172915E0,-3.817208558E-1,1.920722634E-1
2.032955000E-1,-1.766849353E0,-4.992357109E-1,-2.012097073E-1
2.232114999E-1,-1.411316714E0,-7.323228300E-1,-5.839450550E-1
2.431274997E-1,-1.179203888E0,-9.347863264E-1,-8.440853405E-1
2.630435000E-1,-1.132252208E0,-9.082840408E-1,-1.011808628E0
2.829594999E-1,-1.271792793E0,-6.844260938E-1,-1.021524947E0
3.028754997E-1,-1.448844144E0,-4.665103067E-1,-1.000700088E0
3.227915000E-1,-1.387406865E0,-4.068049724E-1,-1.025494037E0
3.427074999E-1,-1.002149613E0,-3.776681507E-1,-1.015239190E0
3.626234997E-1,-5.153355807E-1,-4.225409992E-1,-9.936074156E-1
3.825395000E-1,-2.075366870E-1,-4.082319854E-1,-8.958957642E-1
4.024554999E-1,5.477671623E-2,-3.974065965E-1,-8.116327089E-1
4.223714997E-1,2.088543570E-1,-3.649982576E-1,-4.597548723E-1
4.422875000E-1,2.845892483E-1,-3.277478394E-1,-7.058115542E-2
4.622034999E-1,5.025272548E-2,-3.117216446E-1,3.453190148E-1
4.821194997E-1,-2.685696316E-1,-2.988852520E-1,6.899848956E-1
5.020355000E-1,-3.542026895E-1,-3.848711894E-1,7.624166948E-1
5.219509583E-1,-1.566580170E-1,-4.983812866E-1,9.595678496E-1
5.418669581E-1,2.896035281E-1,-6.540900081E-1,1.544105812E0
5.617829580E-1,1.280551922E-1,-4.482112992E-1,2.324310322E0
5.816989583E-1,-2.224032328E-1,1.182116970E-1,2.429150314E0
6.016149581E-1,-1.090995131E0,8.320612724E-1,2.852246068E0
6.215309580E-1,-2.033953965E0,1.269492937E0,2.364109980E0
6.414469583E-1,-2.136388120E0,1.216162530E0,2.361295130E0
6.613629581E-1,-1.973933758E0,9.906713824E-1,2.415479524E0
6.812789580E-1,-1.539327468E0,6.976055717E-1,1.868171952E0
7.011949583E-1,-1.042373486E0,4.817073664E-1,1.047067924E0
7.211109581E-1,-5.141667223E-1,3.242203604E-1,3.372697377E-1
7.410279582E-1,-2.522366041E-1,1.557043362E-1,-4.407262784E-1
